queue_type,priority,status,course,lesson_title,source_url,candidate_youtube_url,candidate_video_id,candidate_title,confidence,notes,transcription_media_id,transcription_status,transcription_segments,transcription_updated_at
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1arpBMrhGLnx5aDL9-IccGBt7eWDgaFtM/view,,1arpBMrhGLnx5aDL9-IccGBt7eWDgaFtM,4-video4.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1arpBMrhGLnx5aDL9-IccGBt7eWDgaFtM,transcribed,33,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1r-54udE-Y5yVX2esXq_6fVMHQZadOFFz/view,,1r-54udE-Y5yVX2esXq_6fVMHQZadOFFz,084fcaad5ddb9de21e23ca129dbc3642.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1r-54udE-Y5yVX2esXq_6fVMHQZadOFFz,transcribed,13,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1O3_BN3PTONyrsSaV3SkpgeBmDr1J0pXL/view,,1O3_BN3PTONyrsSaV3SkpgeBmDr1J0pXL,AD-DIABETES.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1O3_BN3PTONyrsSaV3SkpgeBmDr1J0pXL,transcribed,16,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1KS10wa1Lf93taMgY24KaadDp01WyeH_y/view,,1KS10wa1Lf93taMgY24KaadDp01WyeH_y,AD-DIABETES1VAR1.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1KS10wa1Lf93taMgY24KaadDp01WyeH_y,transcribed,16,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1dQlWuzO8vwafRBAS42X7cHoGS6oLyKpq/view,,1dQlWuzO8vwafRBAS42X7cHoGS6oLyKpq,AD-DIABETES2.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1dQlWuzO8vwafRBAS42X7cHoGS6oLyKpq,transcribed,13,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1zCtPvct73jEPQJiyWC3ILSGIr_N11IuY/view,,1zCtPvct73jEPQJiyWC3ILSGIr_N11IuY,AD-DIABETES4.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1zCtPvct73jEPQJiyWC3ILSGIr_N11IuY,transcribed,31,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1ERmhlawqkoRtcKKDII7HlCaTTh2YM0my/view,,1ERmhlawqkoRtcKKDII7HlCaTTh2YM0my,AD-DIABETES5.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1ERmhlawqkoRtcKKDII7HlCaTTh2YM0my,transcribed,27,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/13G8SBgR4UwhnfugLwihN6sxsph_k8HFC/view,,13G8SBgR4UwhnfugLwihN6sxsph_k8HFC,AD-FUNGOS.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-13G8SBgR4UwhnfugLwihN6sxsph_k8HFC,transcribed,3,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1oSd1w0_Y0WwAxAZtFVkPBaQu-iswRWJy/view,,1oSd1w0_Y0WwAxAZtFVkPBaQu-iswRWJy,AD-FUNGOS2.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1oSd1w0_Y0WwAxAZtFVkPBaQu-iswRWJy,transcribed,21,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1rX9KQS7Pudg_N7dk9RAryneXHobYuuRy/view,,1rX9KQS7Pudg_N7dk9RAryneXHobYuuRy,AD-NEUROPATIA1.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1rX9KQS7Pudg_N7dk9RAryneXHobYuuRy,transcribed,58,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1AnK7abhhQc_1DNWA8YY8pSkeN5aFCBo-/view,,1AnK7abhhQc_1DNWA8YY8pSkeN5aFCBo-,AD-NEUROPATIA2.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1AnK7abhhQc_1DNWA8YY8pSkeN5aFCBo-,transcribed,18,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1GD1EFLswKC_NgWl-oIzqA7LUV9upGLWv/view,,1GD1EFLswKC_NgWl-oIzqA7LUV9upGLWv,AD-NEUROPATIA5.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1GD1EFLswKC_NgWl-oIzqA7LUV9upGLWv,transcribed,21,2026-07-04T20:59:02Z
